證券代碼,年月,市場風險溢酬,規模溢酬 (3因子),規模溢酬 (5因子),淨值市價比溢酬,益本比溢酬,股利殖利率溢酬,動能因子,短期反轉因子,長期反轉因子,盈利能力因子,投資因子,無風險利率,市場投組,大型投組,小型投組,高淨值市價投組,中淨值市價投組,低淨值市價投組,高益本比投組,低益本比投組,中益本比投組,高股利殖利率投組,中股利殖利率投組,低股利殖利率投組,高動能投組,中動能投組,低動能投組,高短期反轉投組,中短期反轉投組,低短期反轉投組,高長期反轉投組,中長期反轉投組,低長期反轉投組,高盈利能力投組,中盈利能力投組,低盈利能力投組,高投資投組,中投資投組,低投資投組,大型高淨值市價投組,大型中淨值市價投組,大型低淨值市價投組,小型高淨值市價投組,小型中淨值市價投組,小型低淨值市價投組,大型高益本比投組,大型中益本比投組,大型低益本比投組,小型高益本比投組,小型中益本比投組,小型低益本比投組,大型高股利殖利率投組,大型中股利殖利率投組,大型低股利殖利率投組,小型高股利殖利率投組,小型中股利殖利率投組,小型低股利殖利率投組,大型高動能投組,大型中動能投組,大型低動能投組,小型高動能投組,小型中動能投組,小型低動能投組,大型高短期反轉投組,大型中短期反轉投組,大型低短期反轉投組,小型高短期反轉投組,小型中短期反轉投組,小型低短期反轉投組,大型高長期反轉投組,大型中長期反轉投組,大型低長期反轉投組,小型高長期反轉投組,小型中長期反轉投組,小型低長期反轉投組,大型高盈利能力投組,大型中盈利能力投組,大型低盈利能力投組,小型高盈利能力投組,小型中盈利能力投組,小型低盈利能力投組,大型高投資投組,大型中投資投組,大型低投資投組,小型高投資投組,小型中投資投組,小型低投資投組
Z8888 上市＋上櫃(不含金融),200201,6.4904,6.4975,8.9092,10.1616,7.0017,-0.1228,-6.3663,-3.8491,12.7206,-3.7241,0.9091,2.3,6.6821,6.2824,17.9003,18.6484,10.6757,5.2135,13.2067,5.5234,5.5807,5.668,7.2399,5.3741,6.2658,5.6434,9.4128,13.2075,1.8892,11.9474,5.4994,10.6586,18.252,2.6613,16.6505,9.4937,2.8909,15.5432,4.4608,15.4393,10.3977,5.1419,23.0348,14.4275,13.0091,12.9194,5.3414,5.3016,18.9155,16.7199,12.53,5.4171,6.9942,5.2943,11.2538,23.0657,11.6222,5.9187,5.403,8.6358,16.9948,12.6238,27.0104,12.7954,1.5188,11.8374,21.1595,17.06,14.4194,5.4885,9.9155,14.4369,9.2428,15.2516,25.7356,2.4832,16.673,7.6701,17.5585,16.2815,19.8198,2.7105,15.4067,2.7308,17.5103,17.8866,19.3082
Z8888 上市＋上櫃(不含金融),200202,-2.8901,1.4123,1.1117,-1.0486,0.9311,2.9469,0.4706,-0.3553,-1.3832,0.4097,1.2184,2.3,-2.6984,-2.7404,-1.6086,-3.711,-0.6562,-3.147,-1.254,-2.5574,-3.8261,1.0242,-3.3205,-3.34,-2.6489,-2.4522,-3.5285,0.7962,-3.7254,-3.7315,-3.6732,-1.9105,-4.2738,-3.9648,0.7618,-4.0881,-3.1676,-1.7946,-2.7711,-5.3478,-0.5875,-3.1613,-1.6083,-1.5538,-1.6977,-1.2453,-2.5509,-3.9658,-1.4182,-2.9167,-0.5598,1.1975,-3.365,-3.3312,-2.6324,-0.8218,-3.9976,-2.7003,-2.458,-3.6852,-1.2073,-2.282,-1.1636,1.0215,-3.7362,-3.844,-2.1082,-3.4645,2.0467,-3.6781,-1.7764,-7.1451,-1.0547,-2.6012,-0.354,-4.0092,0.9716,-4.7307,-0.7162,-2.7052,-0.8141,-3.1644,-1.8292,-2.9923,-3.4014,-1.2121,-1.1367
Z8888 上市＋上櫃(不含金融),200203,8.4244,1.7888,9.4087,28.5215,-4.4249,1.0811,-23.3406,9.6695,33.9399,-15.4907,11.6317,2.3,8.6161,8.024,23.2935,36.5633,10.4976,6.7768,7.7332,8.3432,6.5127,4.0991,10.7679,4.7681,5.9395,8.3934,21.1805,0.524,11.2573,11.3979,10.088,18.2041,45.9051,8.3718,5.9534,19.2641,9.1125,6.3337,12.4556,38.9646,9.8478,6.757,33.5897,18.5917,8.7543,7.5204,8.2083,5.8229,11.5019,15.8699,22.0492,3.3285,10.8745,4.5977,20.9965,5.1068,17.5651,5.7189,7.8674,19.2103,12.0055,23.8991,45.1954,-0.6701,10.9779,10.2063,19.6208,23.3801,28.0834,10.0791,17.9067,44.5034,14.1507,19.8854,47.6061,8.3403,5.014,16.3488,10.6032,21.433,33.5762,9.0629,5.5638,9.2198,12.6508,18.8413,35.7573
Z8888 上市＋上櫃(不含金融),200204,-3.3191,7.4929,8.6732,9.2022,-0.778,7.3662,-13.8679,-5.3215,9.7433,-9.1479,11.444,2.35,-3.1233,-3.6991,9.4549,9.0675,1.2658,-4.9718,-1.837,-5.0402,-0.4774,1.144,-4.5912,-5.401,-6.2488,-0.1651,0.8745,0.8403,-3.2044,-3.9388,-5.001,6.3742,12.0642,-5.7469,0.679,4.4097,-5.7249,-1.2966,6.004,7.0375,0.6782,-5.0765,11.688,8.0324,5.3976,-2.51,-5.2575,-0.9966,9.6248,6.4544,9.6675,0.5576,-4.6971,-5.5443,12.8129,1.3221,4.1824,-6.4892,-0.5739,-1.3881,0.2794,10.1159,22.914,-2.0331,-3.5612,-4.1719,12.6496,9.5146,4.1453,-5.0499,6.5489,8.3998,11.1388,5.4198,17.1757,-5.8447,-0.1341,2.9545,1.1325,12.2729,10.6291,-5.8418,-1.9164,4.4354,2.4747,7.6382,15.0855
Z8888 上市＋上櫃(不含金融),200205,-7.4435,-1.9213,-3.018,-4.2576,-2.2951,7.5433,3.5435,1.8038,-5.71,9.0055,-0.5294,2.35,-7.2477,-7.0354,-11.2863,-11.1239,-10.3489,-6.1558,-9.1246,-7.3258,-4.3198,-4.4425,-4.5665,-10.1862,-7.6004,-6.5323,-7.8425,-9.201,-6.3307,-7.7151,-6.4094,-5.9421,-12.414,-6.2716,-7.3692,-13.2047,-8.1551,-6.8176,-3.972,-8.4783,-10.5448,-6.1325,-14.384,-8.3209,-8.2147,-9.2174,-7.3225,-4.0839,-7.7157,-7.478,-8.2591,-4.4446,-4.5359,-10.1189,-4.4048,-6.1742,-13.8171,-7.45,-6.4082,-7.3387,-10.2599,-9.1188,-17.4581,-6.7902,-6.3574,-7.6184,-15.6145,-5.6304,-11.1786,-6.4026,-5.3229,-8.6653,-8.3087,-9.5431,-17.4659,-6.2865,-7.3028,-12.1324,-5.3023,-8.1854,-17.4673,-8.1508,-6.7147,-1.602,-8.4298,-8.165,-16.0374
Z8888 上市＋上櫃(不含金融),200206,-10.5564,2.2523,1.9598,4.4313,-4.4534,5.9584,-5.3138,-7.1234,7.5742,-2.2393,7.9094,2.3,-10.3647,-10.5572,-6.515,-6.0085,-11.2226,-10.4457,-13.0175,-11.2833,-7.0171,-4.7395,-10.4935,-13.6963,-15.1846,-10.0209,-8.6354,-7.4747,-12.7455,-13.1273,-11.4086,-5.8297,-4.9155,-10.6415,-10.4773,-8.0969,-14.0671,-6.2386,-3.4468,-6.4324,-11.7208,-10.4472,-5.4517,-6.0924,-10.2994,-13.3657,-11.3644,-7.1266,-7.7759,-7.4036,-5.1083,-4.6789,-10.5295,-13.786,-5.814,-8.5643,-8.6237,-16.4916,-10.1927,-8.7073,-8.0177,-4.6987,-5.1744,-7.6618,-12.9966,-13.5086,-1.5842,-7.3277,-9.9841,-11.4021,-5.9732,-5.7044,-13.4801,-4.8284,-4.0294,-10.6723,-10.8576,-8.526,-8.6181,-5.7089,-6.2858,-14.116,-6.3314,-2.9924,-10.8496,-4.9978,-6.1545
Z8888 上市＋上櫃(不含金融),200207,-2.9586,-2.5525,-1.0632,3.0319,9.8013,4.6703,4.3916,0.4434,1.6698,6.5956,-4.082,2.1,-2.7836,-2.8028,-2.7045,0.9293,3.7061,-6.3064,1.5347,6.9116,-14.5942,-2.7365,2.8366,-9.0893,4.2629,-5.172,-2.0652,0.932,-7.0452,2.5177,-5.3173,3.0052,-0.4425,1.6208,-5.2843,-5.4332,3.6493,-7.6066,-1.1557,2.5096,4.1859,-6.3844,-3.7963,-2.5841,-0.9661,1.6028,7.1473,-15.0351,0.4937,-1.0423,-2.471,-2.8633,2.8902,-9.2093,-0.1648,0.8173,-3.1593,4.8781,-5.2437,-1.9354,-2.0465,-2.7255,-4.0162,1.2086,-7.2806,2.9158,-3.4064,-1.1557,-4.2268,-5.3334,3.4551,2.724,-1.7876,-2.0373,-6.5054,1.6737,-5.465,-5.3825,0.0439,-1.7393,-6.091,3.7918,-7.8483,-0.2169,-1.1095,-1.1975,-5.2648
Z8888 上市＋上櫃(不含金融),200208,-3.7637,1.0292,-0.0264,-7.8569,0.0029,-3.104,0.629,-1.8269,-6.329,6.0802,-3.044,2.1,-3.5887,-3.5297,-4.6926,-8.6476,-4.6542,-2.4366,-2.0627,-4.3868,-1.0382,-4.3727,-2.9268,-1.6189,-2.5518,-3.3816,-4.4812,-2.648,-5.1864,-3.346,-2.8477,-5.2439,-7.9271,-2.8024,-2.9415,-6.188,-3.6267,-3.211,-5.3186,-8.222,-4.8175,-2.4739,-9.9998,-2.3918,-0.0342,-2.0867,-4.4837,-0.9638,-1.6983,-0.8497,-2.827,-4.4425,-3.0206,-1.6626,-3.0142,0.6624,0.4139,-2.2794,-3.3268,-4.4959,-5.0507,-4.8016,-4.0921,-2.6435,-5.1759,-3.2429,-2.4954,-5.3241,-5.5498,-2.8441,-5.1543,-5.5547,-3.491,-6.5453,-13.4384,-2.8734,-2.9319,-5.9127,-0.6654,-3.1225,-9.7864,-3.6627,-3.1936,-4.9063,-2.3744,-3.6388,-7.2187
Z8888 上市＋上櫃(不含金融),200209,-12.4196,0.3694,0.576,-3.2254,3.8501,5.1558,-4.5979,-3.1738,-3.9094,8.7841,-3.6824,2.1,-12.2446,-12.2197,-12.777,-17.512,-9.3877,-13.111,-4.6456,-10.585,-13.3401,-2.0472,-11.2702,-12.8712,-17.9639,-9.0246,-13.4799,-10.7797,-11.5655,-16.0912,-13.0936,-15.679,-19.3593,-6.0182,-13.9027,-20.4155,-10.8147,-12.4618,-17.0784,-18.2476,-9.2985,-13.0996,-15.1256,-10.5893,-13.8227,-4.1223,-10.5811,-13.4412,-12.4912,-10.7194,-10.8725,-1.6612,-11.2619,-12.9687,-9.4634,-11.5771,-8.4675,-18.2294,-8.8955,-13.6101,-15.0392,-12.5436,-10.4627,-10.5982,-11.5719,-16.2522,-13.4306,-11.3801,-14.1242,-13.0831,-15.8254,-21.4002,-14.8131,-13.2175,-14.3149,-5.8098,-14.0114,-20.8271,-12.1632,-11.863,-14.7141,-10.7323,-12.516,-17.7253,-13.6558,-11.1221,-14.0276
Z8888 上市＋上櫃(不含金融),200210,9.302,-7.6077,-6.2133,6.4668,1.1098,-1.4432,8.944,10.3186,3.8877,-3.1017,4.4224,2.1,9.477,9.707,4.865,15.1061,12.2355,7.439,8.5618,9.4581,9.1833,7.4721,8.6193,10.0599,14.7072,10.2423,3.722,4.8433,10.3815,15.8288,10.037,17.7156,11.3581,4.1752,14.3341,10.5692,7.2255,10.9556,11.4635,17.6389,12.8714,7.4879,7.2026,3.5525,4.4201,8.7164,9.6015,9.4438,6.0172,4.4561,3.0703,7.6781,8.6857,10.2142,3.1597,6.2083,3.5099,15.2633,10.3803,3.8879,7.8166,5.7867,1.3041,5.0687,10.5783,16.2755,0.4979,5.342,9.9283,10.0711,18.4779,12.499,3.9808,4.9696,9.3283,4.1687,14.7856,11.1114,4.3785,6.0762,3.6392,7.3562,11.1897,12.6506,2.6131,5.2949,6.1635
